Base index,AT#TOP#AVERAGE,AT#TOP#STD,AT#BOT#AVERAGE,AT#BOT#STD
327,0.0014532069183780345,6.466283117787215e-05,0.0006545286264273292,6.225770808487888e-05
328,0.0017380765599044798,0.0001861152703006243,0.0006630259700043578,6.495788739486399e-05
329,0.0019201541825450321,0.00011578947580073494,0.0009542560213224499,7.51708025682864e-05
330,0.0023255472012766515,0.00030431043601726046,0.0005496924548825273,6.556067560867366e-05
331,0.001971145649297447,0.0002453605468551903,0.0005140446054110844,0.00012424648088937205
332,0.002690670438342154,0.00023305298031113747,0.0003381874200047206,5.091103461867069e-05
333,0.0031840859542717364,0.0002919362075454781,0.00044295530600038007,6.666138997535036e-05
334,0.0033444381510714574,0.00011811762533122004,0.0004054152314934173,3.7717758907912585e-05
335,0.003860774199331589,0.000309143257544714,0.0007452987721880563,8.074794289336386e-05
336,0.0044869282592262145,0.00034521189762531945,0.0003515236735299295,5.441636757299149e-05
337,0.00614253327882088,0.0004436748188923235,0.000387626350709401,9.37596448419774e-05
338,0.008562134433657288,0.0007605232381321008,0.00044367220230985793,6.393227696844113e-05
339,0.01112944087006286,0.0005699122360137493,0.00040966660681333335,3.199217288364082e-05
340,0.014594099156616028,0.000763594779457877,0.00036689232789747855,9.504596955713791e-05
341,0.01689122364821256,0.0006674027866444772,0.00043857276664498277,8.349879234970335e-05
342,0.020434616421048442,0.0006417370246863691,0.0005027296791330955,5.048250043103906e-05
343,0.02694159565648132,0.00042147943459025066,0.00047251548365516834,7.591684583102008e-05
344,0.02513639215025986,0.0005022270366712764,0.0003625151956048846,6.756916343880931e-05
345,0.03229443948229481,0.0005090005347902556,0.0004262786159865533,4.840571337429773e-05
346,0.0371965192541635,0.0009229188013741124,0.00041868680417801946,0.00010201411134537334
347,0.04004800724114623,0.0014842354450120723,0.0008477165196706586,0.00014580295274799752
348,0.04538816189269634,0.0023108077146280093,0.0005427621297837169,0.00017174610201765793
349,0.04431841014658887,0.0002717937675886476,0.0007227374646507341,2.018429220315949e-05
350,0.04568309721937707,0.0005626163156001496,0.0010025232280096237,7.409202479186737e-05
351,0.05141806028244038,0.0028934319083398622,0.004721848904263667,0.000827653105739311
352,0.051374830355504074,8.703252425954154e-05,0.9702029982771301,0.003065944745031435
353,0.05364821272753204,0.002470785780958568,0.00040665137688201714,0.00013196743505089698
354,0.047071747063004654,0.0012378691458014308,0.000236420345106235,4.115853374640663e-05
355,0.0623671253399584,0.0009858384978918575,0.00020293760339736794,1.2152778954855803e-05
356,0.04913698797048002,0.001318147738060063,0.0002563045052189305,0.00010075244652317943
357,0.0417477256131841,0.0014538873481301112,0.00014761045046065665,3.915976520450724e-05
358,0.047253454255965076,0.0026542128186994403,0.00010516137810210348,6.200013774717305e-05
359,0.0313393803127405,0.0005214951942305425,0.0001895312619687489,4.623681728581599e-05
360,0.03582470462295832,0.0005981983746862388,9.221501197480298e-05,5.014365756790361e-05
361,0.025530849702469584,0.0015868514068771286,8.050659359037004e-05,2.0651299877754934e-05
362,0.017849484365426768,5.4134345379680985e-05,9.685807704689516e-05,2.387851326727863e-05
363,0.014210490010412387,0.0005835393480253011,7.625702062472185e-05,1.3793717438419718e-05
364,0.011274295358885068,0.00025123321346564795,9.64645849404512e-05,5.719583961224061e-05
365,0.008978990166091796,0.00039298441448360697,9.763965419697976e-05,5.3061216035125796e-05
366,0.0083584621126869,0.0009918828473235235,0.00010091360749072306,3.5626257037655036e-05
367,0.0038726961034510014,0.00037462772415685177,9.633522325923765e-05,5.708679400385943e-05
368,0.0024369200704465158,0.0003934222217115946,0.00010084712429584851,4.112342394200742e-05
369,0.002401114480216145,0.00012941793478625404,8.861765447802585e-05,1.0613489308934042e-05
370,0.0025587663239421297,0.00038057395445047015,3.3551027258009405e-05,1.8697789252812503e-05
371,0.0020868538912213954,0.0002629087781793954,2.929965193809341e-05,1.8540246492730377e-05
372,0.001319072234348411,0.0001354144140933506,5.9449166575413754e-05,2.0246877825214257e-05
373,0.0009953942677427914,0.0002033981196799441,4.2378984455143015e-05,8.173832832843797e-06
374,0.0008048800071365019,7.416190376349416e-05,5.460845427296569e-05,3.06053945219692e-05
375,0.0011511373238420307,0.0001244634874963804,7.63217014653286e-05,1.4418077471024845e-05
376,0.0010868367145720676,0.00011048138810906271,1.2556478729392093e-05,1.2365287497746048e-05
377,0.0009091616900372962,5.218339567921513e-05,4.675972145627255e-05,2.740352258613575e-05
378,0.0007039246554504272,5.405735522734405e-05,3.3682191293490726e-05,1.926053118797675e-05
379,0.0007819516220204475,0.0002433489442910875,1.2556478729392093e-05,1.2365287497746048e-05
380,0.0004007632114542455,0.00010594266145517413,5.873046791166815e-05,3.0626688550858685e-05
381,0.0006062975438084067,0.000135373369640925,3.361570809861617e-05,1.3707807980669142e-05
382,0.00048049919842525513,7.050293060937534e-05,2.5766975281923028e-05,2.589730625841252e-05
383,0.0005566534375819937,6.169679893271903e-05,5.035888130731748e-05,2.4140452001616826e-05
384,0.00047826280784137883,7.309281574311226e-05,4.231430361453625e-05,7.587681442546125e-06
385,0.00036837652197424796,0.00010904377928357176,2.5244121494265512e-05,1.2176994915674387e-05
386,0.00038752033987372734,3.332048516950943e-05,2.517944065365874e-05,1.2070226000808413e-05
387,0.0005224368562711221,3.023904455739457e-05,2.517944065365874e-05,1.2070226000808413e-05
388,0.0004337952793030129,5.4637997361270244e-05,3.78006002236576e-05,2.454117898370606e-05
389,0.0005941982589369195,9.279477502738452e-05,1.6743173208701317e-05,1.4505351524877426e-05
390,0.00040492597552959156,0.00010538342353886177,4.31605616052276e-06,7.475628558346075e-06
391,0.0005603316670568604,5.2757729881470546e-05,1.268764276487342e-05,2.993563866914464e-07
392,0.00039216859296422,6.537795927015719e-05,1.2556478729392093e-05,1.2365287497746048e-05
393,0.0002523874248005195,3.471783043202293e-05,2.125507424531217e-05,7.705255019498984e-06
394,0.0003036050518435876,9.035533031388312e-05,8.240422568869332e-06,1.4272830565118929e-05
395,0.00018907146730063156,4.489640007507249e-05,2.0992746174349517e-05,1.9021060900818825e-05
396,0.0001918333192380603,3.984990053845266e-05,1.6872534889914852e-05,1.4623851139421352e-05
397,0.00013215561887463338,4.208721785177058e-05,2.1123910209830847e-05,7.2722185909192166e-06
398,0.00013048466198271525,5.753553877371206e-05,2.5114759813051974e-05,2.175802728731614e-05
399,0.00012484008667797294,6.200668501703184e-05,1.268764276487342e-05,2.993563866914464e-07
400,0.000508548606321834,6.817068790692018e-05,1.2491797888785325e-05,1.2362721434540863e-05
401,0.0001857441816712446,6.315889005504572e-05,3.341986322252807e-05,2.5370218179631547e-05
402,0.0001567412871428239,7.100147680587968e-05,1.2491797888785325e-05,1.2362721434540863e-05
403,0.00037656845936994066,5.4195944941922905e-05,2.1059229369224077e-05,7.035397471378461e-06
