Relative base index,Average nicked AT,Average nicked GC,Average nicked 704
36,0.5838672415229529,0.5869031492126959,0.6423764288818561
37,0.5666776083756834,0.5659165486406178,0.6004406032456907
38,0.5573620206059594,0.5568227109889197,0.5946847855784041
39,0.5626716376461449,0.5584291427143212,0.6044028472179649
40,0.5719072315254519,0.559776722486044,0.6141905583042339
41,0.553182704323919,0.553343303063123,0.5813485899489487
42,0.6081395484462216,0.6340889777555613,0.658970970938579
43,0.5717562276097649,0.6399871282179457,0.6472973775858422
44,0.6173288761143044,0.6264570524035648,0.6620875541252059
45,0.5617710850065265,0.560424143964009,0.5977238713906425
46,0.561367685856314,0.5536074037046295,0.5793853579719933
47,0.5498220167180424,0.55583104223944,0.6116065000066325
48,0.572854827959677,0.5704524702157787,0.644420383428224
49,0.561880807575884,0.5726701380210503,0.5859805432799918
50,1.0959143547446466,1.0629257963286953,0.9655388483371268
