Base index,AT_2#TOP,AT_2#BOT
417,5,1
418,11,0
419,5,9
420,3,2
421,4,1
422,5,1
423,10,2
424,5,2
425,18,2
426,10,0
427,2,1
428,7,2
429,5,1
430,2,2
431,13,3
432,9,1
433,3,3
434,5,1
435,13,4
436,7,1
437,5,1
438,5,7
439,4,2
440,5,1
441,14,3
442,4,3
443,6,0
444,4,3
445,15,8
446,5,4
447,13,2
448,7,4
449,10,5
450,4,1
451,9,6
452,9,4
453,15,3
454,8,3
455,16,1
456,9,0
457,17,8
458,8,10
459,14,7
460,8,5
461,11,5
462,13,6
463,9,5
464,18,8
465,13,6
466,4,9
467,9,7
468,13,4
469,6,5
470,10,5
471,25,8
472,10,8
473,38,9
474,22,12
475,14,11
476,16,12
477,15,26
478,20,14
479,29,13
480,11,17
481,21,8
482,21,16
483,21,14
484,36,21
485,57,23
486,27,20
487,28,30
488,65,29
489,26,33
490,28,34
491,23,28
492,36,25
493,23,22
494,36,24
495,26,20
496,28,23
497,32,27
498,34,28
499,67,24
500,48,31
501,55,40
502,46,27
503,36,29
504,72,17
505,51,32
506,49,49
507,41,43
508,59,34
509,64,42
510,49,23
511,77,34
512,49,22
513,63,32
514,60,19
515,57,24
516,58,26
517,43,26
518,58,33
519,69,13
520,102,15
521,68,27
522,50,25
523,88,33
524,68,20
525,86,18
526,81,25
527,46,43
528,68,33
529,72,41
530,70,28
531,87,31
532,108,39
533,91,34
534,78,34
535,83,30
536,74,27
537,69,26
538,77,27
539,59,33
540,53,39
541,62,19
542,84,26
543,86,36
544,76,23
545,71,38
546,77,22
547,73,41
548,55,31
549,48,45
550,69,28
551,64,29
552,81,21
553,73,34
554,55,28
555,76,25
556,67,20
557,84,19
558,86,20
559,84,22
560,65,19
561,74,23
562,40,23
563,61,18
564,58,14
565,78,14
566,50,23
567,52,15
568,55,25
569,60,18
570,37,23
571,62,8
572,61,16
573,61,18
574,48,17
575,54,7
576,43,6
577,47,21
578,39,18
579,29,15
580,35,10
581,39,6
582,45,14
583,23,14
584,10,18
585,16,13
586,26,9
587,15,9
588,29,5
589,22,8
590,15,4
591,16,3
592,7,4
593,24,5
594,9,14
595,7,16
596,8,15
597,10,9
598,8,2
599,15,5
600,8,5
601,10,8
602,9,8
603,5,7
604,3,2
605,7,6
606,5,5
607,6,16
608,9,9
609,7,4
610,13,4
611,6,4
612,10,2
613,4,6
614,8,9
615,4,5
616,4,13
617,8,1
618,8,3
619,2,3
620,2,7
621,3,2
622,4,3
623,3,1
624,1,4
625,0,5
626,8,6
627,5,8
628,6,1
629,2,3
630,0,14
631,3,4
632,5,3
633,2,6
634,2,1
635,2,5
636,0,6
637,1,1
638,1,13
639,1,1
640,0,0
641,1,3
642,5,2
643,1,1
644,0,0
645,2,4
646,0,0
647,0,2
648,0,5
649,0,5
650,0,0
651,0,1
652,0,8
653,0,0
654,0,2
655,0,1
656,0,5
657,0,2
658,0,3
659,0,2
660,0,3
661,0,2
662,0,0
663,0,3
664,0,2
665,0,2
666,0,1
667,0,1
668,0,0
669,0,6
670,0,6
671,0,0
672,0,1
673,0,0
674,0,1
675,0,4
676,0,10
677,0,6
678,0,32
679,0,1
680,0,7
681,0,5
682,0,8
683,0,5
684,0,4
685,0,6
686,0,12
687,0,7
688,0,12
689,0,17
690,0,36
691,0,13
692,0,11
693,0,19
694,0,12
695,0,10
696,0,9
697,0,34
698,0,51
699,0,113
700,0,115
701,0,97
702,0,210
703,0,558
704,0,68652
