Base index,GC_3#TOP,GC_3#BOT
540,71,25
541,48,13
542,73,9
543,91,10
544,68,15
545,46,16
546,77,21
547,54,25
548,45,19
549,59,17
550,87,10
551,60,18
552,61,14
553,61,14
554,44,23
555,71,7
556,65,8
557,118,10
558,66,18
559,64,9
560,49,14
561,69,9
562,52,11
563,57,12
564,51,11
565,66,9
566,48,12
567,44,7
568,45,14
569,81,9
570,52,16
571,54,3
572,50,7
573,55,6
574,45,7
575,43,13
576,46,7
577,35,16
578,34,6
579,35,12
580,26,12
581,32,8
582,50,5
583,16,7
584,14,11
585,13,2
586,18,6
587,21,5
588,51,4
589,15,3
590,21,5
591,8,2
592,19,3
593,12,6
594,7,1
595,9,11
596,11,5
597,19,3
598,5,2
599,23,2
600,1,5
601,3,3
602,4,8
603,4,15
604,0,2
605,10,4
606,12,5
607,8,12
608,3,6
609,6,2
610,16,3
611,2,1
612,4,3
613,1,5
614,1,7
615,4,2
616,4,5
617,3,1
618,4,1
619,5,2
620,2,0
621,3,3
622,0,3
623,1,2
624,0,0
625,5,1
626,0,2
627,1,3
628,4,0
629,0,7
630,0,6
631,1,1
632,0,0
633,5,5
634,0,2
635,0,2
636,0,3
637,0,0
638,1,8
639,0,0
640,0,0
641,0,2
642,1,5
643,0,2
644,0,3
645,0,7
646,0,0
647,0,1
648,0,4
649,0,10
650,0,0
651,0,1
652,0,3
653,0,1
654,0,1
655,0,1
656,0,1
657,0,4
658,0,1
659,0,6
660,0,4
661,0,0
662,0,0
663,0,1
664,0,3
665,0,3
666,0,0
667,0,1
668,0,1
669,0,3
670,0,5
671,0,2
672,0,1
673,0,0
674,0,1
675,0,3
676,0,3
677,0,2
678,0,35
679,0,2
680,0,7
681,0,2
682,0,12
683,0,4
684,0,1
685,0,3
686,0,12
687,0,2
688,0,6
689,0,22
690,0,42
691,0,24
692,0,13
693,0,12
694,0,8
695,0,7
696,0,11
697,0,22
698,0,52
699,0,92
700,0,75
701,0,69
702,0,166
703,0,375
704,0,54492
